instance,period,period_number,new_production_rate,new_reusable_rate,new_scrap_rate,processed_recovery_rate,processed_discard_rate,reuse_dependency_rate
bf_qcv_045,period_1,1,97.84,0.03,2.13,0.0,0.0,0.0
bf_qcv_045,period_2,2,97.88,0.0,2.12,95.6,4.4,0.03
bf_qcv_045,period_3,3,97.88,0.0,2.11,0.0,0.0,0.0
bf_qcv_045,period_4,4,97.73,0.01,2.26,87.05,12.95,0.0
bf_qcv_045,period_5,5,98.06,0.0,1.94,59.04,40.96,0.0
bf_sae1006_045,period_1,1,95.88,1.3,2.82,0.0,0.0,0.0
bf_sae1006_045,period_2,2,96.25,0.6,3.14,98.49,1.51,1.33
bf_sae1006_045,period_3,3,96.22,0.74,3.04,94.42,5.58,0.52
bf_sae1006_045,period_4,4,96.96,0.16,2.88,92.8,7.2,1.05
bf_sae1006_045,period_5,5,96.01,0.92,3.07,92.38,7.62,0.09
bf_sae1006_050,period_1,1,78.49,20.72,0.78,0.0,0.0,0.0
bf_sae1006_050,period_2,2,75.53,23.64,0.84,93.09,6.91,25.64
bf_sae1006_050,period_3,3,93.07,5.31,1.62,94.77,5.23,19.4
bf_sae1006_050,period_4,4,87.66,11.46,0.88,91.79,8.21,5.27
bf_sae1006_050,period_5,5,96.62,1.36,2.01,88.29,11.71,6.97
bz_nbr7008_043,period_1,1,89.54,8.15,2.31,0.0,0.0,0.0
bz_nbr7008_043,period_2,2,87.68,9.11,3.21,46.57,53.43,4.56
bz_nbr7008_043,period_3,3,91.76,3.91,4.33,65.23,34.77,5.89
bz_nbr7008_043,period_4,4,87.27,10.27,2.46,60.45,39.55,3.07
bz_nbr7008_043,period_5,5,93.51,2.07,4.42,62.99,37.01,4.54
bz_nbr7008_075,period_1,1,88.79,10.11,1.1,0.0,0.0,0.0
bz_nbr7008_075,period_2,2,85.41,13.51,1.07,59.43,40.57,7.82
bz_nbr7008_075,period_3,3,93.33,5.5,1.16,82.06,17.94,10.24
bz_nbr7008_075,period_4,4,80.98,17.97,1.05,64.16,35.84,4.22
bz_nbr7008_075,period_5,5,88.85,10.04,1.1,82.16,17.84,12.26
bz_nbr7008_095,period_1,1,91.53,7.4,1.07,0.0,0.0,0.0
bz_nbr7008_095,period_2,2,86.27,12.7,1.03,77.29,22.71,6.54
bz_nbr7008_095,period_3,3,90.16,8.28,1.56,85.49,14.51,9.26
bz_nbr7008_095,period_4,4,92.37,5.82,1.81,86.44,13.56,10.04
bz_nbr7008_095,period_5,5,94.83,3.59,1.57,87.62,12.38,3.87
