instance,period,period_number,new_production_rate,new_reusable_rate,new_scrap_rate,processed_recovery_rate,processed_discard_rate,reuse_dependency_rate
bf_qcv_045,period_1,1,97.87,1.06,1.07,0.0,0.0,0.0
bf_qcv_045,period_2,2,97.88,1.06,1.06,0.0,0.0,0.0
bf_qcv_045,period_3,3,97.89,1.04,1.07,0.0,0.0,0.0
bf_qcv_045,period_4,4,97.74,1.19,1.07,0.0,0.0,0.0
bf_qcv_045,period_5,5,98.06,0.88,1.07,0.0,0.0,0.0
bf_sae1006_045,period_1,1,96.99,1.98,1.03,0.0,0.0,0.0
bf_sae1006_045,period_2,2,96.34,2.62,1.04,88.02,11.98,0.21
bf_sae1006_045,period_3,3,96.97,2.01,1.02,87.84,12.16,0.68
bf_sae1006_045,period_4,4,96.98,2.02,1.0,98.75,1.25,0.35
bf_sae1006_045,period_5,5,96.62,2.34,1.04,93.05,6.95,0.17
bf_sae1006_050,period_1,1,78.49,20.63,0.88,0.0,0.0,0.0
bf_sae1006_050,period_2,2,75.49,23.63,0.88,93.63,6.37,25.68
bf_sae1006_050,period_3,3,92.92,6.22,0.86,95.16,4.84,19.47
bf_sae1006_050,period_4,4,87.48,11.63,0.88,98.18,1.82,5.45
bf_sae1006_050,period_5,5,96.52,2.59,0.89,88.22,11.78,7.06
bz_nbr7008_043,period_1,1,89.49,9.47,1.04,0.0,0.0,0.0
bz_nbr7008_043,period_2,2,88.7,10.31,0.99,22.65,77.35,2.13
bz_nbr7008_043,period_3,3,91.74,7.21,1.04,30.71,69.29,2.69
bz_nbr7008_043,period_4,4,90.43,8.58,0.99,28.44,71.56,1.99
bz_nbr7008_043,period_5,5,91.78,7.23,0.99,57.43,42.57,2.54
bz_nbr7008_075,period_1,1,89.46,9.45,1.08,0.0,0.0,0.0
bz_nbr7008_075,period_2,2,84.99,13.93,1.08,53.79,46.21,6.52
bz_nbr7008_075,period_3,3,82.62,16.31,1.07,68.41,31.59,8.93
bz_nbr7008_075,period_4,4,74.96,23.96,1.08,71.52,28.48,15.92
bz_nbr7008_075,period_5,5,86.61,12.31,1.08,82.04,17.96,15.45
bz_nbr7008_095,period_1,1,92.95,5.98,1.07,0.0,0.0,0.0
bz_nbr7008_095,period_2,2,85.96,12.97,1.07,74.84,25.16,4.82
bz_nbr7008_095,period_3,3,87.28,11.66,1.07,84.17,15.83,9.51
bz_nbr7008_095,period_4,4,87.74,11.19,1.07,86.41,13.59,14.55
bz_nbr7008_095,period_5,5,97.19,1.74,1.08,86.51,13.49,7.35
