Id,Code,Weight,Processed
1,5010000468,7444.63,0
2,5010000468,7975.28,0
3,5010000468,7614.83,0
4,5010000468,8009.91,0
5,5010000468,8444.41,0
6,5010000468,9176.13,0
7,5010000468,6939.65,0
8,5010000468,9609.36,0
9,5010000468,6373.95,0
10,5010000468,7799.79,0
11,5010000468,8385.95,0
12,5010000468,8142.55,0
13,5010000468,7426.82,0
14,5010000468,7755.17,0
15,5010000468,7529.54,0
16,5010000468,7453.22,0
17,5010000468,8592.88,0
18,5010000468,8202.76,0
19,5010000468,7371.22,0
20,5010000468,8632.48,0
21,5010000468,8163.38,0
22,5010000468,8563.79,0
23,5010000468,8418.67,0
24,5010000468,7263.44,0
25,5010000468,7476.34,0
26,5010000468,8511.86,0
27,5010000468,8403.41,0
28,5010000468,7903.45,0
29,5010000468,8012.92,0
30,5010000468,8931.91,0
31,5010000468,7451.48,0
32,5010000468,8353.3,0
33,5010000468,7759.86,0
34,5010000468,7747.6,0
35,5010000468,8790.23,0
36,5010000468,8573.73,0
37,5010000468,8564.3,0
38,5010000468,8953.94,0
39,5010000468,7936.64,0
40,5010000468,8460.11,0
41,5010000468,7674.27,0
42,5010000468,8176.74,0
43,5010000468,7816.93,0
44,5010000468,7996.82,0
45,5010000468,8391.36,0
46,5010000468,7271.97,0
47,5010000468,9577.17,0
48,5010000468,7123.23,0
49,5010000468,6958.36,0
50,5010000468,8837.22,0
51,5010000468,8547.0,0
52,5010000468,8414.3,0
53,5010000468,8417.65,0
54,5010000468,7910.3,0
55,5010000468,7209.37,0
56,5010000468,7980.04,0
57,5010000468,7383.69,0
58,5010000468,8692.29,0
59,5010000468,7803.53,0
60,5010000468,7266.21,0
61,5010000468,7665.46,0
62,5010000468,8247.04,0
63,5010000468,7473.53,0
64,5010000468,7268.8,0
65,5010000468,8113.0,0
66,5010000468,8114.01,0
67,5010000468,7518.5,0
68,5010000468,7546.94,0
69,5010000468,8103.78,0
70,5010000468,6773.12,0
71,5010000468,6805.29,0
72,5010000468,7350.99,0
73,5010000468,7750.95,0
74,5010000468,8166.24,0
75,5010000468,9088.48,0
76,5010000468,8599.27,0
77,5010000468,7793.33,0
78,5010000468,7904.94,0
79,5010000468,7126.0,0
80,5010000468,7905.34,0
81,5010000468,7691.38,0
82,5010000468,8175.59,0
83,5010000468,7264.83,0
84,5010000468,8331.32,0
85,5010000468,9133.93,0
86,5010000468,7833.86,0
87,5010000468,8238.16,0
88,5010000468,8466.59,0
89,5010000468,7602.23,0
90,5010000468,8097.48,0
91,5010000468,7929.97,0
92,5010000468,7997.36,0
93,5010000468,7307.78,0
94,5010000468,7939.41,0
95,5010000468,8314.41,0
96,5010000468,9069.31,0
97,5010000078,7778.89,0
98,5010000078,8626.33,0
99,5010000078,6553.34,0
100,5010000078,7717.17,0
101,5010000078,7228.14,0
102,5010000078,8652.32,0
103,5010000078,6524.27,0
104,5010000078,6501.97,0
105,5010000078,6672.55,0
106,5010000078,5590.46,0
107,5010000078,6724.82,0
108,5010000078,6559.17,0
109,5010000078,7204.75,0
110,5010000078,7340.58,0
111,5010000078,8429.71,0
112,5010000078,7772.61,0
