instance,period,period_number,new_production_rate,new_reusable_rate,new_scrap_rate,processed_recovery_rate,processed_discard_rate,reuse_dependency_rate
bf_qcv_045,period_1,1,97.86,1.07,1.07,0.0,0.0,0.0
bf_qcv_045,period_2,2,97.88,1.06,1.06,86.61,13.39,0.0
bf_qcv_045,period_3,3,97.89,1.04,1.07,0.0,0.0,0.0
bf_qcv_045,period_4,4,97.74,1.19,1.07,0.0,0.0,0.0
bf_qcv_045,period_5,5,97.91,1.03,1.07,0.0,0.0,0.0
bf_sae1006_045,period_1,1,96.91,2.06,1.03,0.0,0.0,0.0
bf_sae1006_045,period_2,2,96.73,2.23,1.04,98.08,1.92,0.28
bf_sae1006_045,period_3,3,97.01,1.95,1.04,87.08,12.92,0.21
bf_sae1006_045,period_4,4,96.79,2.18,1.03,99.59,0.41,0.26
bf_sae1006_045,period_5,5,96.81,2.14,1.05,93.01,6.99,0.37
bf_sae1006_050,period_1,1,78.49,20.72,0.78,0.0,0.0,0.0
bf_sae1006_050,period_2,2,75.55,23.67,0.78,93.0,7.0,25.62
bf_sae1006_050,period_3,3,93.08,6.03,0.89,94.61,5.39,19.39
bf_sae1006_050,period_4,4,87.63,11.48,0.88,92.4,7.6,5.29
bf_sae1006_050,period_5,5,94.48,4.63,0.88,88.31,11.69,6.98
bz_nbr7008_043,period_1,1,94.47,4.51,1.02,0.0,0.0,0.0
bz_nbr7008_043,period_2,2,94.32,4.66,1.01,98.61,1.39,1.23
bz_nbr7008_043,period_3,3,93.39,5.59,1.01,99.08,0.92,0.5
bz_nbr7008_043,period_4,4,91.64,7.38,0.97,80.63,19.37,2.62
bz_nbr7008_043,period_5,5,93.9,5.12,0.98,73.4,26.6,2.28
bz_nbr7008_075,period_1,1,89.46,9.49,1.05,0.0,0.0,0.0
bz_nbr7008_075,period_2,2,85.7,13.3,1.0,64.57,35.43,7.87
bz_nbr7008_075,period_3,3,93.56,5.34,1.1,81.76,18.24,9.94
bz_nbr7008_075,period_4,4,83.53,15.39,1.08,62.89,37.11,3.95
bz_nbr7008_075,period_5,5,87.4,11.52,1.08,79.03,20.97,9.78
bz_nbr7008_095,period_1,1,95.85,3.08,1.08,0.0,0.0,0.0
bz_nbr7008_095,period_2,2,90.99,7.99,1.02,98.8,1.2,1.43
bz_nbr7008_095,period_3,3,94.18,4.75,1.08,98.28,1.72,5.27
bz_nbr7008_095,period_4,4,96.05,2.87,1.08,81.38,18.62,4.35
bz_nbr7008_095,period_5,5,96.18,2.75,1.07,97.57,2.43,1.12
