instance,period,period_number,new_production_rate,new_reusable_rate,new_scrap_rate,processed_recovery_rate,processed_discard_rate,reuse_dependency_rate
bf_qcv_045,period_1,1,97.86,0.0,2.13,0.0,0.0,0.0
bf_qcv_045,period_2,2,97.87,0.01,2.12,86.14,13.86,0.0
bf_qcv_045,period_3,3,97.79,0.01,2.2,87.73,12.27,0.01
bf_qcv_045,period_4,4,97.54,0.08,2.38,91.75,8.25,0.01
bf_qcv_045,period_5,5,98.05,0.01,1.94,98.38,1.62,0.05
bf_sae1006_045,period_1,1,96.71,0.19,3.09,0.0,0.0,0.0
bf_sae1006_045,period_2,2,96.8,0.23,2.97,85.56,14.44,0.17
bf_sae1006_045,period_3,3,96.06,1.16,2.77,92.6,7.4,0.19
bf_sae1006_045,period_4,4,96.39,0.82,2.8,92.83,7.17,1.65
bf_sae1006_045,period_5,5,96.74,0.48,2.78,88.09,11.91,0.45
bf_sae1006_050,period_1,1,78.49,20.63,0.88,0.0,0.0,0.0
bf_sae1006_050,period_2,2,75.49,23.63,0.88,93.63,6.37,25.68
bf_sae1006_050,period_3,3,92.92,5.14,1.94,95.16,4.84,19.47
bf_sae1006_050,period_4,4,87.48,11.63,0.88,98.18,1.82,5.45
bf_sae1006_050,period_5,5,96.52,1.47,2.01,88.22,11.78,7.06
bz_nbr7008_043,period_1,1,89.88,6.89,3.24,0.0,0.0,0.0
bz_nbr7008_043,period_2,2,90.88,5.89,3.23,37.34,62.66,3.07
bz_nbr7008_043,period_3,3,90.85,6.05,3.1,44.56,55.44,2.55
bz_nbr7008_043,period_4,4,87.92,9.05,3.03,27.82,72.18,2.28
bz_nbr7008_043,period_5,5,92.61,2.87,4.52,71.96,28.04,4.57
bz_nbr7008_075,period_1,1,89.46,9.37,1.17,0.0,0.0,0.0
bz_nbr7008_075,period_2,2,84.99,13.86,1.14,53.79,46.21,6.52
bz_nbr7008_075,period_3,3,82.62,16.25,1.14,68.41,31.59,8.93
bz_nbr7008_075,period_4,4,74.96,23.91,1.14,71.52,28.48,15.92
bz_nbr7008_075,period_5,5,86.61,12.23,1.16,82.04,17.96,15.45
bz_nbr7008_095,period_1,1,92.95,5.73,1.32,0.0,0.0,0.0
bz_nbr7008_095,period_2,2,85.96,12.97,1.07,74.84,25.16,4.82
bz_nbr7008_095,period_3,3,87.28,11.66,1.07,84.17,15.83,9.51
bz_nbr7008_095,period_4,4,87.74,11.19,1.07,86.41,13.59,14.55
bz_nbr7008_095,period_5,5,97.19,0.24,2.57,86.51,13.49,7.35
