instance,period,period_number,new_coils_used_count,new_coils_weight,new_strip_produced_weight,new_strip_retail_weight,new_strip_scrap_weight,new_strip_loss_weight,new_lateral_leftover_weight,new_lateral_retail_weight,new_lateral_scrap_weight,new_edge_trim_weight,new_rolled_leftover_weight,new_partially_used_count,processed_coils_total_count,processed_coils_used_count,processed_coils_weight,processed_strip_produced_weight,processed_scrap_weight,total_strip_produced_weight,retails_generated_count,retails_generated_weight
bf_qcv_045,period_1,1,40,311301.22,304651.69,12.63,2.54,137.37,3309.3,0.0,3309.3,3187.73,0.0,0,0,0,0.0,0.0,0.0,304651.69,1,12.63
bf_qcv_045,period_2,2,35,279705.01,273759.58,25.91,1.61,121.74,2962.16,0.0,2962.16,2833.99,0.0,0,1,1,12.63,10.88,1.75,273770.46,2,25.91
bf_qcv_045,period_3,3,44,348091.99,340409.52,30.79,6.53,150.65,3915.4,0.0,3915.4,3579.23,0.0,0,2,2,25.91,22.73,3.18,340432.25,1,30.79
bf_qcv_045,period_4,4,29,236448.74,230635.72,197.31,1.65,99.85,3096.21,0.0,3096.21,2418.05,0.0,0,1,1,30.79,28.25,2.54,230663.97,2,197.31
bf_qcv_045,period_5,5,49,375504.59,368170.5,47.32,2.01,170.11,3284.72,0.0,3284.72,3829.98,0.0,0,2,2,197.31,194.12,3.19,368364.62,3,47.32
bf_sae1006_045,period_1,1,48,394981.13,382001.46,769.9,11.08,161.64,8153.49,0.0,8153.49,3883.46,0.0,0,0,0,0.0,0.0,0.0,382001.46,5,769.9
bf_sae1006_045,period_2,2,48,396338.17,383658.0,893.33,14.0,160.33,7578.75,0.0,7578.75,4033.67,0.0,0,5,5,769.9,658.71,111.19,384316.71,7,893.34
bf_sae1006_045,period_3,3,56,444388.55,426900.81,2508.29,2.1,190.86,10451.63,2650.55,7801.08,4334.83,0.0,0,7,7,893.34,827.27,66.07,427728.08,6,5158.84
bf_sae1006_045,period_4,4,36,296234.61,285531.59,2419.11,5.13,127.23,5352.3,0.0,5352.3,2799.24,0.0,0,6,6,5158.84,4788.8,370.04,290320.39,7,2419.11
bf_sae1006_045,period_5,5,61,486176.91,470318.62,2329.0,13.84,205.14,8419.87,0.0,8419.87,4890.32,0.0,0,7,7,2419.11,2131.07,288.04,472449.69,7,2329.0
bf_sae1006_050,period_1,1,4,34397.98,26999.99,138.21,0.0,14.73,6958.4,6958.4,0.0,286.64,0.0,0,0,0,0.0,0.0,0.0,26999.99,6,7096.61
bf_sae1006_050,period_2,2,3,25477.17,19232.79,304.27,0.0,10.96,5716.85,5716.85,0.0,212.3,0.0,0,6,6,7096.61,6644.28,452.33,25877.07,5,6021.12
bf_sae1006_050,period_3,3,3,25494.64,23690.57,349.89,0.0,13.89,276.02,0.0,276.02,204.46,959.81,1,5,5,6021.12,5729.46,291.66,29420.03,2,1309.7
bf_sae1006_050,period_4,4,3,25477.17,22288.13,378.27,0.0,12.62,2585.84,2585.84,0.0,212.3,0.0,0,2,2,1309.7,1285.85,23.85,23573.98,5,2964.11
bf_sae1006_050,period_5,5,4,35635.77,34396.16,523.23,0.0,18.52,400.9,0.0,400.9,296.96,0.0,0,5,5,2964.11,2614.79,349.32,37010.95,2,523.23
bz_nbr7008_043,period_1,1,20,157499.86,141553.77,2248.33,0.0,60.85,12050.47,8597.4,3453.07,1586.45,0.0,0,0,0,0.0,0.0,0.0,141553.77,18,10845.72
bz_nbr7008_043,period_2,2,18,140483.48,127678.01,1302.44,8.17,59.05,10104.73,6969.0,3135.73,1331.05,0.0,0,18,16,10845.72,4049.52,6796.2,131727.53,11,8271.44
bz_nbr7008_043,period_3,3,19,155014.29,140832.72,762.31,0.0,62.61,11889.06,8610.39,3278.67,1467.6,0.0,0,11,9,8271.44,3685.77,4585.67,144518.49,15,9372.7
bz_nbr7008_043,period_4,4,15,126819.83,111502.84,2764.18,2.32,50.06,11331.67,8712.07,2619.6,1168.78,0.0,0,15,11,9372.7,2607.04,6765.66,114109.88,11,11476.25
bz_nbr7008_043,period_5,5,23,186079.88,172330.59,1335.37,8.02,80.34,10618.88,4012.19,6606.69,1706.66,0.0,0,11,11,11476.25,8258.53,3217.72,180589.12,8,5347.56
bz_nbr7008_075,period_1,1,6,40203.19,35966.97,1722.66,0.0,33.33,2078.2,2045.08,33.12,402.04,0.0,0,0,0,0.0,0.0,0.0,35966.97,8,3767.73
bz_nbr7008_075,period_2,2,5,34205.6,29072.79,2835.72,0.0,27.61,1927.42,1906.2,21.22,342.06,0.0,0,8,8,3767.73,2026.82,1740.91,31099.61,7,4741.92
bz_nbr7008_075,period_3,3,6,40058.91,33096.3,163.11,0.0,29.73,6369.19,6344.83,24.36,400.6,0.0,0,7,7,4741.92,3244.06,1497.86,36340.36,7,6507.94
bz_nbr7008_075,period_4,4,5,32807.3,24591.84,3468.91,0.0,25.49,4392.99,4373.77,19.22,328.08,0.0,0,7,6,6507.94,4654.6,1853.34,29246.44,8,7842.68
bz_nbr7008_075,period_5,5,6,40655.07,35211.56,1689.6,0.0,32.38,3314.99,3284.02,30.97,406.56,0.0,0,8,8,7842.68,6434.33,1408.35,41645.89,8,4973.62
bz_nbr7008_095,period_1,1,6,58222.11,54118.11,174.22,0.0,42.07,3305.47,3161.46,144.01,582.22,0.0,0,0,0,0.0,0.0,0.0,54118.11,6,3335.68
bz_nbr7008_095,period_2,2,6,57294.91,49248.67,1155.63,0.0,39.61,6278.05,6278.05,0.0,572.95,0.0,0,6,6,3335.68,2496.26,839.42,51744.93,8,7433.67
bz_nbr7008_095,period_3,3,7,68199.89,59521.81,2111.51,0.0,47.04,5837.54,5837.54,0.0,682.0,0.0,0,8,8,7433.67,6256.81,1176.86,65778.62,10,7949.05
bz_nbr7008_095,period_4,4,5,45979.57,40343.3,564.85,0.0,33.33,4578.29,4578.29,0.0,459.8,0.0,0,10,10,7949.05,6868.69,1080.36,47211.99,9,5143.15
bz_nbr7008_095,period_5,5,6,57673.92,56050.97,138.29,0.0,43.71,864.2,0.0,864.2,576.74,0.0,0,9,9,5143.15,4449.28,693.87,60500.25,4,138.3
