instance,period,period_number,new_production_rate,new_reusable_rate,new_scrap_rate,processed_recovery_rate,processed_discard_rate,reuse_dependency_rate
bf_qcv_045,period_1,1,97.87,0.0,2.13,0.0,0.0,0.0
bf_qcv_045,period_2,2,97.88,0.0,2.12,66.46,33.54,0.0
bf_qcv_045,period_3,3,97.89,0.0,2.11,0.0,0.0,0.0
bf_qcv_045,period_4,4,97.53,0.1,2.37,0.0,0.0,0.0
bf_qcv_045,period_5,5,98.06,0.0,1.94,97.38,2.62,0.06
bf_sae1006_045,period_1,1,96.48,0.73,2.79,0.0,0.0,0.0
bf_sae1006_045,period_2,2,96.75,0.31,2.94,99.72,0.28,0.75
bf_sae1006_045,period_3,3,96.55,0.77,2.69,99.13,0.87,0.28
bf_sae1006_045,period_4,4,97.13,0.31,2.56,89.31,10.69,1.04
bf_sae1006_045,period_5,5,96.84,0.39,2.77,98.77,1.23,0.19
bf_sae1006_050,period_1,1,78.49,20.63,0.88,0.0,0.0,0.0
bf_sae1006_050,period_2,2,75.49,23.63,0.88,93.63,6.37,25.68
bf_sae1006_050,period_3,3,69.04,30.08,0.87,94.17,5.83,19.27
bf_sae1006_050,period_4,4,82.18,16.94,0.88,96.19,3.81,42.22
bf_sae1006_050,period_5,5,96.51,1.48,2.01,93.24,6.76,7.07
bz_nbr7008_043,period_1,1,89.65,7.42,2.93,0.0,0.0,0.0
bz_nbr7008_043,period_2,2,88.3,9.19,2.51,31.69,68.31,2.82
bz_nbr7008_043,period_3,3,92.12,3.79,4.1,29.46,70.54,2.72
bz_nbr7008_043,period_4,4,88.03,9.56,2.41,62.2,37.8,3.15
bz_nbr7008_043,period_5,5,91.01,5.54,3.45,43.7,56.3,2.91
bz_nbr7008_075,period_1,1,89.46,9.39,1.15,0.0,0.0,0.0
bz_nbr7008_075,period_2,2,85.2,13.66,1.15,58.43,41.57,7.09
bz_nbr7008_075,period_3,3,81.48,17.39,1.13,79.89,20.11,10.18
bz_nbr7008_075,period_4,4,76.72,22.14,1.14,58.51,41.49,13.94
bz_nbr7008_075,period_5,5,84.62,14.23,1.15,86.8,13.2,15.14
bz_nbr7008_095,period_1,1,92.95,5.73,1.32,0.0,0.0,0.0
bz_nbr7008_095,period_2,2,87.85,10.83,1.31,74.84,25.16,4.82
bz_nbr7008_095,period_3,3,90.62,7.56,1.82,83.9,16.1,7.75
bz_nbr7008_095,period_4,4,92.72,5.22,2.06,90.46,9.54,9.7
bz_nbr7008_095,period_5,5,95.02,2.77,2.21,91.38,8.62,3.62
