instance,period,period_number,new_coils_used_count,new_coils_value,new_strip_produced_value,new_strip_retail_value,new_strip_scrap_value,new_strip_loss_value,new_lateral_leftover_value,new_lateral_retail_value,new_lateral_scrap_value,new_edge_trim_value,new_rolled_leftover_value,new_partially_used_count,processed_coils_total_count,processed_coils_used_count,processed_coils_value,processed_strip_produced_value,processed_scrap_value,total_strip_produced_value,retails_generated_count,retails_generated_value
bf_qcv_045,period_1,1,40,1612372.08,1577696.37,50.45,10.7,708.24,17324.75,0.0,17324.75,16581.84,0.0,0,0,0,0.0,0.0,0.0,1577696.37,1,50.45
bf_qcv_045,period_2,2,35,1444294.74,1413477.07,0.0,10.22,624.99,15481.0,0.0,15481.0,14701.68,0.0,0,1,1,50.45,33.53,16.92,1413510.6,0,0.0
bf_qcv_045,period_3,3,45,1802370.52,1764000.94,0.0,18.29,793.03,18929.66,0.0,18929.66,18629.2,0.0,0,0,0,0.0,0.0,0.0,1764000.94,0,0.0
bf_qcv_045,period_4,4,29,1227584.02,1197045.81,1242.93,6.36,514.93,16172.29,0.0,16172.29,12602.06,0.0,0,0,0,0.0,0.0,0.0,1197045.81,3,1242.93
bf_qcv_045,period_5,5,50,1939710.93,1901795.29,0.0,13.2,889.57,17135.53,0.0,17135.53,19877.74,0.0,0,3,3,1242.93,1210.53,32.41,1903005.82,0,0.0
bf_sae1006_045,period_1,1,49,2021248.89,1950373.57,14438.4,55.63,845.78,35616.94,0.0,35616.94,19918.09,0.0,0,0,0,0.0,0.0,0.0,1950373.57,5,14438.4
bf_sae1006_045,period_2,2,50,2014442.3,1949131.17,6014.46,22.75,869.96,38439.85,0.0,38439.85,19963.78,0.0,0,5,5,14438.4,14398.76,39.64,1963529.93,6,6014.46
bf_sae1006_045,period_3,3,55,2256901.28,2178945.36,7369.08,43.68,949.57,47238.76,9840.21,37398.55,22354.42,0.0,0,6,6,6014.46,5962.11,52.35,2184907.47,6,17209.28
bf_sae1006_045,period_4,4,36,1513394.7,1469935.63,4588.75,29.78,622.87,23212.44,0.0,23212.44,15004.87,0.0,0,6,6,17209.28,15370.1,1839.19,1485305.73,6,4588.8
bf_sae1006_045,period_5,5,61,2492857.82,2414117.52,9422.7,43.44,1048.34,42740.71,0.0,42740.71,25484.38,0.0,0,6,6,4588.8,4531.61,57.19,2418649.13,7,9422.65
bf_sae1006_050,period_1,1,4,177663.5,139453.38,713.85,0.0,76.08,35939.72,35939.72,0.0,1480.48,0.0,0,0,0,0.0,0.0,0.0,139453.38,6,36653.56
bf_sae1006_050,period_2,2,3,131588.05,99336.15,2625.18,0.0,56.56,28473.54,28473.54,0.0,1096.52,0.0,0,6,6,36653.56,34317.31,2336.26,133653.46,5,31098.72
bf_sae1006_050,period_3,3,4,177663.5,122666.81,4435.19,0.0,69.73,49011.25,49011.25,0.0,1480.48,0.0,0,5,5,31098.72,29285.88,1812.84,151952.69,6,53446.44
bf_sae1006_050,period_4,4,2,85602.84,70347.31,2462.8,0.0,41.42,12037.98,12037.98,0.0,713.33,0.0,0,6,6,53446.44,51410.93,2035.5,121758.24,4,14500.78
bf_sae1006_050,period_5,5,4,184056.61,177638.92,2717.64,0.0,95.65,2070.62,0.0,2070.62,1533.78,0.0,0,4,4,14500.78,13520.42,980.36,191159.34,2,2717.64
bz_nbr7008_043,period_1,1,22,890305.49,799969.31,18427.66,31.92,373.65,62467.69,45787.5,16680.19,9035.04,0.0,0,0,0,0.0,0.0,0.0,799969.31,17,64215.17
bz_nbr7008_043,period_2,2,18,829201.19,732460.71,9042.16,262.88,320.14,79064.59,66936.46,12128.13,8050.84,0.0,0,17,14,64215.17,20478.61,43736.55,752939.32,12,75978.62
bz_nbr7008_043,period_3,3,18,881998.06,812512.25,10898.72,0.0,352.8,49992.18,22206.71,27785.47,8241.94,0.0,0,12,9,75978.62,23225.44,52753.18,835737.69,10,33105.44
bz_nbr7008_043,period_4,4,16,711039.18,626421.55,12070.12,306.77,266.63,64804.75,55366.55,9438.2,7169.36,0.0,0,10,10,33105.44,20700.93,12404.51,647122.48,14,67436.67
bz_nbr7008_043,period_5,5,24,1100474.69,1003131.29,10440.23,60.93,431.14,75667.11,48602.49,27064.62,10743.87,0.0,0,14,13,67436.67,30179.68,37256.98,1033310.98,14,59042.73
bz_nbr7008_075,period_1,1,6,215298.54,192612.48,11078.59,0.0,179.67,9274.83,9134.25,140.58,2153.03,0.0,0,0,0,0.0,0.0,0.0,192612.48,9,20212.79
bz_nbr7008_075,period_2,2,5,181618.07,154736.17,14985.25,0.0,147.86,9932.61,9816.25,116.37,1816.18,0.0,0,9,9,20212.79,11810.44,8402.35,166546.6,6,24801.49
bz_nbr7008_075,period_3,3,6,214525.88,174799.01,22327.74,0.0,174.85,15078.97,14981.61,97.36,2145.32,0.0,0,6,6,24801.49,19813.07,4988.42,194612.08,8,37309.35
bz_nbr7008_075,period_4,4,5,175691.62,134791.36,22353.12,0.0,142.18,16648.0,16546.47,101.54,1756.95,0.0,0,8,7,37309.35,21830.82,15478.52,156622.18,7,38899.59
bz_nbr7008_075,period_5,5,6,223665.86,189260.08,17833.23,0.0,174.85,14161.02,13995.49,165.53,2236.68,0.0,0,7,7,38899.59,33764.43,5135.16,223024.52,8,31828.72
bz_nbr7008_095,period_1,1,6,315124.26,292911.62,942.96,0.0,227.7,17890.69,17111.24,779.45,3151.24,0.0,0,0,0,0.0,0.0,0.0,292911.62,6,18054.2
bz_nbr7008_095,period_2,2,6,303415.78,266555.91,16277.73,0.0,226.89,17320.98,16592.14,728.84,3034.17,0.0,0,6,6,18054.2,13510.88,4543.32,280066.79,10,32869.81
bz_nbr7008_095,period_3,3,7,362438.44,328446.84,13118.26,0.0,267.92,16981.02,14288.27,2692.75,3624.39,0.0,0,10,10,32869.81,27576.7,5293.11,356023.55,6,27406.54
bz_nbr7008_095,period_4,4,5,248862.12,230740.48,6159.75,0.0,192.9,9280.3,6825.32,2454.98,2488.64,0.0,0,6,6,27406.54,24792.05,2614.48,255532.54,6,12985.06
bz_nbr7008_095,period_5,5,6,332121.25,315588.86,1510.99,31.72,231.33,11437.16,7672.42,3764.74,3321.19,0.0,0,6,6,12985.06,11865.77,1119.29,327454.63,3,9183.41
