instance,period,period_number,new_coils_used_count,new_coils_weight,new_strip_produced_weight,new_strip_retail_weight,new_strip_scrap_weight,new_strip_loss_weight,new_lateral_leftover_weight,new_lateral_retail_weight,new_lateral_scrap_weight,new_edge_trim_weight,new_rolled_leftover_weight,new_partially_used_count,processed_coils_total_count,processed_coils_used_count,processed_coils_weight,processed_strip_produced_weight,processed_scrap_weight,total_strip_produced_weight,retails_generated_count,retails_generated_weight
bf_qcv_045,period_1,1,39,311567.28,304651.68,20.81,7.31,134.27,3565.45,0.0,3565.45,3187.77,0.0,0,0,0,0.0,0.0,0.0,304651.68,1,20.81
bf_qcv_045,period_2,2,35,279680.92,273752.22,8.19,3.32,121.76,2961.65,0.0,2961.65,2833.8,0.0,0,1,1,20.81,18.27,2.54,273770.49,1,8.19
bf_qcv_045,period_3,3,45,347789.89,340425.57,12.75,2.96,154.15,3615.15,0.0,3615.15,3579.24,0.0,0,1,1,8.19,6.65,1.54,340432.22,2,12.75
bf_qcv_045,period_4,4,29,236324.43,230653.76,35.82,3.08,99.85,3115.63,0.0,3115.63,2416.34,0.0,0,2,1,12.75,10.21,2.54,230663.97,3,35.82
bf_qcv_045,period_5,5,49,375634.98,368333.58,9.57,4.05,170.12,3286.16,0.0,3286.16,3831.57,0.0,0,3,3,35.82,31.09,4.73,368364.67,2,9.57
bf_sae1006_045,period_1,1,47,396133.88,382001.42,379.26,12.91,163.47,8055.09,0.0,8055.09,3728.39,1793.25,1,0,0,0.0,0.0,0.0,382001.42,5,2172.51
bf_sae1006_045,period_2,2,48,396455.72,382190.59,1136.84,13.63,164.05,8250.37,0.0,8250.37,3919.83,780.38,1,5,5,2172.51,2126.1,46.41,384316.69,6,1917.22
bf_sae1006_045,period_3,3,54,439572.09,425946.9,1282.85,6.38,181.87,7785.77,0.0,7785.77,4368.24,0.0,0,6,6,1917.22,1781.18,136.04,427728.08,6,1282.86
bf_sae1006_045,period_4,4,37,301850.21,289057.56,1235.41,0.49,127.71,5355.12,0.0,5355.12,2891.69,3182.15,1,6,6,1282.86,1262.85,20.01,290320.41,6,4417.56
bf_sae1006_045,period_5,5,59,484488.03,468168.32,2719.64,14.79,197.4,8529.95,0.0,8529.95,4857.8,0.0,0,6,6,4417.56,4281.38,136.18,472449.7,4,2719.64
