Id,Code,Weight,Processed
1,5010000512,5947.1,0
2,5010000512,5647.27,0
3,5010000512,6188.66,0
4,5010000512,6302.43,0
5,5010000512,6953.28,0
6,5010000512,5206.75,0
7,5010000512,7226.15,0
8,5010000512,6168.47,0
9,5010000512,5999.95,0
10,5010000512,5633.16,0
11,5010000512,5230.32,0
12,5010000512,6783.42,0
13,5010000512,6313.45,0
14,5010000512,5459.02,0
15,5010000512,5455.81,0
16,5010000512,6057.05,0
17,5010000512,7313.56,0
18,5010000512,6104.8,0
19,5010000512,5325.41,0
20,5010000512,6113.48,0
21,5010000512,6096.57,0
22,5010000512,4577.23,0
23,5010000512,6233.47,0
24,5010000512,6122.76,0
25,5010000512,6703.85,0
26,5010000512,7426.33,0
27,5010000512,6973.57,0
28,5010000512,6098.97,0
29,5010000512,5573.98,0
30,5010000512,7880.35,0
31,5010000512,6304.62,0
32,5010000512,6276.23,0
33,5010000512,6252.38,0
34,5010000512,6391.65,0
35,5010000512,6177.02,0
36,5010000512,5907.96,0
37,5010000512,5924.76,0
38,5010000512,6246.97,0
39,5010000512,5926.91,0
40,5010000512,5820.72,0
41,5010000512,6334.21,0
42,5010000512,6107.69,0
43,5010000512,7210.13,0
44,5010000512,4606.0,0
45,5010000512,6951.6,0
46,5010000512,7048.48,0
47,5010000088,6515.67,0
48,5010000088,7938.31,0
49,5010000088,7914.68,0
50,5010000088,7063.03,0
51,5010000088,7580.63,0
52,5010000088,7307.11,0
53,5010000088,9660.37,0
54,5010000088,8989.13,0
55,5010000088,9265.22,0
56,5010000088,8813.21,0
57,5010000088,7291.92,0
58,5010000088,7788.84,0
59,5010000088,8622.27,0
60,5010000088,7215.41,0
61,5010000088,8806.08,0
62,5010000088,8022.45,0
63,5010000088,7911.9,0
64,5010000088,8804.41,0
65,5010000088,8585.18,0
66,5010000088,7923.29,0
67,5010000088,9172.97,0
68,5010000088,7331.37,0
69,5010000088,8726.3,0
70,5010000088,8707.53,0
71,5010000088,7965.55,0
72,5010000088,8488.08,0
73,5010000088,7191.58,0
74,5010000088,8979.55,0
75,5010000088,8068.01,0
76,5010000088,7790.32,0
77,5010000088,9082.29,0
78,5010000088,7641.03,0
79,5010000088,7062.24,0
80,5010000088,6940.45,0
81,5010000088,8718.14,0
82,5010000263,9316.86,0
83,5010000263,12560.0,0
84,5010000263,8460.46,0
85,5010000263,12497.66,0
86,5010000263,10910.47,0
87,5010000263,10581.66,0
88,5010000263,10102.75,0
89,5010000263,11111.48,0
90,5010000263,10644.79,0
91,5010000263,11863.88,0
92,5010000263,10807.05,0
93,5010000263,10845.6,0
94,5010000263,10296.48,0
95,5010000263,10624.15,0
96,5010000263,11013.89,0
97,5010000263,8857.69,0
98,5010000263,9244.46,0
99,5010000263,11479.18,0
100,5010000263,10867.57,0
101,5010000263,10488.41,0
102,5010000263,10704.7,0
103,5010000263,11056.39,0
104,5010000263,10108.27,0
105,5010000263,9853.38,0
106,5010000263,10894.26,0
107,5010000263,9639.61,0
108,5010000263,11121.22,0
