instance,period,period_number,new_coils_used_count,new_coils_weight,new_strip_produced_weight,new_strip_retail_weight,new_strip_scrap_weight,new_strip_loss_weight,new_lateral_leftover_weight,new_edge_trim_weight,new_rolled_leftover_weight,new_partially_used_count,processed_coils_total_count,processed_coils_used_count,processed_coils_weight,processed_strip_produced_weight,processed_scrap_weight,total_strip_produced_weight,retails_generated_count,retails_generated_weight,retails_generated_avg_weight
bf_qcv_045,period_1,1,40,311348.81,304651.59,62.71,1.16,137.44,3307.76,3188.11,0.0,0,0,0,0.0,0.0,0.0,304651.59,6,62.71,10.45
bf_qcv_045,period_2,2,35,279735.12,273718.67,99.7,1.44,121.76,2959.47,2834.12,0.0,0,6,5,62.71,51.8,10.91,273770.47,2,99.7,49.85
bf_qcv_045,period_3,3,44,347698.57,340337.86,11.25,1.94,150.77,3618.02,3578.63,0.0,0,2,2,99.7,94.36,5.34,340432.22,1,11.25,11.25
bf_qcv_045,period_4,4,30,236014.6,230654.2,29.32,0.11,103.02,2811.72,2416.15,0.0,0,1,1,11.25,9.72,1.53,230663.92,2,29.32,14.66
bf_qcv_045,period_5,5,50,375703.05,368339.56,71.57,0.12,173.18,3286.41,3832.2,0.0,0,2,2,29.32,25.03,4.29,368364.59,5,71.57,14.31
bf_sae1006_045,period_1,1,49,393615.47,382001.45,535.08,9.24,166.0,7024.05,3879.55,0.0,0,0,0,0.0,0.0,0.0,382001.45,6,535.08,89.18
bf_sae1006_045,period_2,2,49,398441.47,383838.2,1325.66,1.41,162.21,9035.38,4078.51,0.0,0,6,6,535.08,478.5,56.58,384316.7,9,3522.88,391.43
bf_sae1006_045,period_3,3,55,437645.79,424628.18,999.6,8.13,186.9,7499.94,4322.92,0.0,0,9,9,3522.88,3099.88,423.0,427728.06,6,999.6,166.6
bf_sae1006_045,period_4,4,37,298855.03,289332.83,1830.91,0.0,125.71,4627.06,2938.41,0.0,0,6,6,999.6,987.58,12.02,290320.41,8,1830.91,228.86
bf_sae1006_045,period_5,5,61,486645.74,470697.98,2281.11,10.1,205.53,8591.11,4859.82,0.0,0,8,7,1830.91,1751.73,79.18,472449.71,5,2281.11,456.22
bf_sae1006_050,period_1,1,4,34397.98,27000.01,9.5,0.0,16.84,3069.0,252.9,4049.74,1,0,0,0.0,0.0,0.0,27000.01,6,7128.24,1188.04
bf_sae1006_050,period_2,2,3,25477.17,19237.01,14.1,0.0,10.96,4748.46,201.76,1264.88,1,6,6,7128.24,6640.06,488.18,25877.07,5,6027.44,1205.49
bf_sae1006_050,period_3,3,3,25477.17,23707.41,474.6,0.0,13.48,1069.37,212.3,0.0,0,5,5,6027.44,5712.62,314.82,29420.03,3,1357.51,452.5
bf_sae1006_050,period_4,4,3,25477.17,22319.17,354.49,0.0,12.62,2578.59,212.3,0.0,0,3,3,1357.51,1254.82,102.69,23573.99,5,2933.08,586.62
bf_sae1006_050,period_5,5,4,35635.77,34419.94,499.45,0.0,18.52,400.9,296.96,0.0,0,5,5,2933.08,2591.0,342.08,37010.94,2,499.45,249.72
bz_nbr7008_043,period_1,1,19,154691.22,141553.76,2018.28,2.88,59.16,9512.28,1544.88,0.0,0,0,0,0.0,0.0,0.0,141553.76,13,8939.64,687.66
bz_nbr7008_043,period_2,2,17,140315.35,128541.2,777.38,1.47,55.78,9608.74,1330.74,0.0,0,13,12,8939.64,3186.32,5753.32,131727.52,8,6916.25,864.53
bz_nbr7008_043,period_3,3,19,155995.51,141353.99,1310.68,4.51,59.05,11723.17,1544.09,0.0,0,8,6,6916.25,3164.48,3751.77,144518.47,14,10747.82,767.7
bz_nbr7008_043,period_4,4,17,124295.23,110951.09,212.22,3.23,52.37,10297.37,1214.08,1564.87,1,14,10,10747.82,3158.77,7589.05,114109.86,13,10366.88,797.45
bz_nbr7008_043,period_5,5,23,189209.51,175839.93,655.55,0.29,73.11,10778.87,1861.69,0.0,0,13,12,10366.88,4749.11,5617.77,180589.04,11,7307.99,664.36
bz_nbr7008_075,period_1,1,6,40203.19,35966.97,682.2,0.0,33.55,1644.04,387.15,1489.29,1,0,0,0.0,0.0,0.0,35966.97,9,3789.28,421.03
bz_nbr7008_075,period_2,2,5,33434.19,28648.36,0.0,6.2,27.87,1166.9,301.51,3283.33,2,9,9,3789.28,2451.26,1338.02,31099.62,5,4420.94,884.19
bz_nbr7008_075,period_3,3,5,34980.67,32730.07,591.07,6.97,28.1,1274.64,349.81,0.0,0,5,5,4420.94,3610.28,810.66,36340.35,6,1836.02,306.0
bz_nbr7008_075,period_4,4,5,33630.39,28091.95,3216.1,0.0,27.61,1958.42,336.31,0.0,0,6,6,1836.02,1154.46,681.56,29246.41,7,5155.9,736.56
bz_nbr7008_075,period_5,5,6,42987.96,37570.82,3387.73,0.73,33.71,1565.1,429.88,0.0,0,7,7,5155.9,4075.07,1080.83,41645.89,6,4915.38,819.23
bz_nbr7008_095,period_1,1,6,58222.11,54118.11,174.22,0.0,42.07,3305.47,582.22,0.0,0,0,0,0.0,0.0,0.0,54118.11,6,3335.68,555.95
bz_nbr7008_095,period_2,2,6,56058.86,49248.66,584.43,0.0,41.92,3090.39,535.01,2558.44,1,6,6,3335.68,2496.26,839.42,51744.92,6,6122.99,1020.5
