instance,period,period_number,new_coils_used_count,new_coils_weight,new_strip_produced_weight,new_strip_retail_weight,new_strip_scrap_weight,new_strip_loss_weight,new_lateral_leftover_weight,new_lateral_retail_weight,new_lateral_scrap_weight,new_edge_trim_weight,new_rolled_leftover_weight,new_partially_used_count,processed_coils_total_count,processed_coils_used_count,processed_coils_weight,processed_strip_produced_weight,processed_scrap_weight,total_strip_produced_weight,retails_generated_count,retails_generated_weight
bf_qcv_045,period_1,1,40,311330.97,304651.67,39.84,6.14,137.45,3307.93,0.0,3307.93,3187.93,0.0,0,0,0,0.0,0.0,0.0,304651.67,1,39.84
bf_qcv_045,period_2,2,35,279661.91,273735.05,0.0,9.23,121.75,2962.27,0.0,2962.27,2833.67,0.0,0,1,1,39.84,35.46,4.38,273770.51,0,0.0
bf_qcv_045,period_3,3,45,347821.42,340432.24,38.13,2.37,153.82,3615.36,0.0,3615.36,3579.53,0.0,0,0,0,0.0,0.0,0.0,340432.24,3,38.13
bf_qcv_045,period_4,4,30,236106.15,230631.54,143.54,2.64,103.04,2808.53,0.0,2808.53,2416.85,0.0,0,3,3,38.13,32.41,5.72,230663.95,2,143.54
bf_qcv_045,period_5,5,49,375589.75,368225.2,70.09,2.48,170.13,3290.48,0.0,3290.48,3831.46,0.0,0,2,2,143.54,139.46,4.08,368364.66,3,70.09
bf_sae1006_045,period_1,1,50,397983.48,382001.46,1806.73,6.27,169.75,7848.91,0.0,7848.91,3869.11,2281.21,1,0,0,0.0,0.0,0.0,382001.46,6,4087.94
bf_sae1006_045,period_2,2,49,395248.93,380274.18,1697.38,10.23,166.44,8150.97,0.0,8150.97,3892.69,1057.0,1,6,6,4087.94,4042.51,45.43,384316.69,5,2754.38
bf_sae1006_045,period_3,3,54,441490.24,425106.8,3176.38,5.31,187.1,8684.22,0.0,8684.22,4330.38,0.0,0,5,5,2754.38,2621.26,133.12,427728.06,8,3176.38
bf_sae1006_045,period_4,4,36,296637.09,287159.24,1150.11,1.6,126.6,5401.72,0.0,5401.72,2797.84,0.0,0,8,8,3176.38,3161.2,15.18,290320.44,6,1150.11
bf_sae1006_045,period_5,5,61,488915.16,471312.5,3015.09,2.74,211.04,9645.09,0.0,9645.09,4728.65,0.0,0,6,6,1150.11,1137.18,12.93,472449.68,7,3015.09
bf_sae1006_050,period_1,1,4,34397.98,27000.01,0.0,0.0,18.49,333.05,0.0,333.05,229.84,6816.6,2,0,0,0.0,0.0,0.0,27000.01,2,6816.6
bf_sae1006_050,period_2,2,3,25477.17,19203.23,0.0,0.0,13.86,240.13,0.0,240.13,163.51,5856.45,2,2,2,6816.6,6673.85,142.75,25877.08,2,5856.45
bf_sae1006_050,period_3,3,3,25477.17,23693.83,1270.52,0.0,13.89,286.62,0.0,286.62,212.3,0.0,0,2,2,5856.45,5726.2,130.25,29420.03,2,1270.52
bf_sae1006_050,period_4,4,3,25477.17,22305.58,353.18,0.0,13.86,297.26,0.0,297.26,193.02,2314.27,1,2,2,1270.52,1268.41,2.11,23573.99,2,2667.45
bf_sae1006_050,period_5,5,4,36438.14,34395.14,1258.82,0.0,18.49,462.03,0.0,462.03,303.64,0.0,0,2,2,2667.45,2615.81,51.64,37010.95,5,1258.84
bz_nbr7008_043,period_1,1,18,150095.57,141553.77,1910.0,9.32,59.37,5094.36,0.0,5094.36,1468.72,0.0,0,0,0,0.0,0.0,0.0,141553.77,10,1910.0
bz_nbr7008_043,period_2,2,18,140101.83,129833.28,1731.58,4.39,61.22,5654.91,0.0,5654.91,1320.03,1496.4,1,10,10,1910.0,1894.25,15.75,131727.53,9,3227.98
bz_nbr7008_043,period_3,3,19,152157.01,141441.04,1668.99,41.49,60.83,6771.17,1821.24,4949.93,1511.55,661.91,1,9,9,3227.98,3077.41,150.57,144518.45,10,4152.15
bz_nbr7008_043,period_4,4,15,123840.5,110945.88,3546.83,2.68,50.41,5147.8,1427.58,3720.22,1154.44,2992.43,2,10,10,4152.15,3163.98,988.17,114109.86,9,7966.84
bz_nbr7008_043,period_5,5,22,192515.7,173306.56,5277.45,13.59,73.44,6773.9,0.0,6773.9,1808.56,5262.15,3,9,9,7966.84,7282.57,684.27,180589.13,13,10539.59
bz_nbr7008_075,period_1,1,6,40203.19,35966.97,3082.92,0.0,34.45,716.83,466.75,250.08,402.04,0.0,0,0,0,0.0,0.0,0.0,35966.97,11,3549.67
bz_nbr7008_075,period_2,2,5,34077.64,29149.27,3260.56,0.0,28.06,1298.97,1277.57,21.4,340.78,0.0,0,11,11,3549.67,1950.34,1599.33,31099.61,7,4538.13
bz_nbr7008_075,period_3,3,6,40058.91,32776.8,1558.39,0.0,34.16,955.37,843.52,111.85,356.83,4377.36,2,7,7,4538.13,3563.56,974.57,36340.36,8,6779.27
bz_nbr7008_075,period_4,4,4,26353.92,23638.99,1158.06,0.0,22.22,1271.11,1257.9,13.21,263.54,0.0,0,8,8,6779.27,5607.45,1171.82,29246.44,9,2415.96
bz_nbr7008_075,period_5,5,7,48098.25,40204.98,2035.39,0.0,39.61,1161.49,1044.06,117.43,438.8,4217.97,2,9,9,2415.96,1440.9,975.06,41645.88,9,7297.41
bz_nbr7008_095,period_1,1,6,56463.16,54118.12,746.55,0.0,43.56,990.28,0.0,990.28,564.64,0.0,0,0,0,0.0,0.0,0.0,54118.12,5,746.55
bz_nbr7008_095,period_2,2,6,56058.86,51008.8,251.78,0.0,43.56,951.49,0.0,951.49,527.84,3275.37,2,5,5,746.55,736.12,10.43,51744.92,4,3527.15
bz_nbr7008_095,period_3,3,7,66163.44,62334.05,357.49,0.0,50.99,975.83,0.0,975.83,643.63,1801.44,1,4,4,3527.15,3444.56,82.59,65778.61,4,2158.93
bz_nbr7008_095,period_4,4,5,47127.87,45121.79,811.47,0.0,36.46,686.85,0.0,686.85,471.28,0.0,0,4,4,2158.93,2090.2,68.73,47211.99,4,811.46
bz_nbr7008_095,period_5,5,6,61909.0,59697.73,481.56,0.0,43.56,1067.04,0.0,1067.04,619.08,0.0,0,4,4,811.46,802.53,8.93,60500.26,11,481.57
