instance,period,period_number,new_production_rate,new_reusable_rate,new_scrap_rate,processed_recovery_rate,processed_discard_rate,reuse_dependency_rate
bf_qcv_045,period_1,1,97.85,0.01,2.13,0.0,0.0,0.0
bf_qcv_045,period_2,2,97.88,0.0,2.12,89.01,10.99,0.01
bf_qcv_045,period_3,3,97.88,0.01,2.11,0.0,0.0,0.0
bf_qcv_045,period_4,4,97.68,0.06,2.26,85.0,15.0,0.01
bf_qcv_045,period_5,5,98.04,0.02,1.94,97.16,2.84,0.04
bf_sae1006_045,period_1,1,95.98,1.03,2.99,0.0,0.0,0.0
bf_sae1006_045,period_2,2,96.21,0.7,3.09,98.89,1.11,1.05
bf_sae1006_045,period_3,3,96.29,0.72,2.99,95.17,4.83,0.61
bf_sae1006_045,period_4,4,96.8,0.39,2.81,99.52,0.48,1.09
bf_sae1006_045,period_5,5,96.4,0.62,2.98,98.88,1.12,0.24
bf_sae1006_050,period_1,1,78.49,19.82,1.69,0.0,0.0,0.0
bf_sae1006_050,period_2,2,75.37,22.99,1.64,97.91,2.09,25.79
bf_sae1006_050,period_3,3,93.0,4.99,2.01,97.78,2.22,19.46
bf_sae1006_050,period_4,4,87.55,10.47,1.98,99.83,0.17,5.38
bf_sae1006_050,period_5,5,94.39,3.45,2.15,98.06,1.94,7.07
bz_nbr7008_043,period_1,1,94.31,1.27,4.42,0.0,0.0,0.0
bz_nbr7008_043,period_2,2,92.67,2.3,5.03,99.18,0.82,1.44
bz_nbr7008_043,period_3,3,92.96,2.73,4.31,95.34,4.66,2.13
bz_nbr7008_043,period_4,4,89.59,6.43,3.98,76.2,23.8,2.77
bz_nbr7008_043,period_5,5,90.02,5.47,4.5,91.41,8.59,4.03
bz_nbr7008_075,period_1,1,89.46,8.83,1.71,0.0,0.0,0.0
bz_nbr7008_075,period_2,2,85.54,13.32,1.15,54.94,45.06,6.27
bz_nbr7008_075,period_3,3,81.82,16.92,1.26,78.52,21.48,9.81
bz_nbr7008_075,period_4,4,89.7,9.17,1.13,82.71,17.29,19.17
bz_nbr7008_075,period_5,5,83.59,15.17,1.24,59.64,40.36,3.46
bz_nbr7008_095,period_1,1,95.85,1.32,2.83,0.0,0.0,0.0
bz_nbr7008_095,period_2,2,90.99,6.29,2.72,98.6,1.4,1.42
bz_nbr7008_095,period_3,3,94.21,3.26,2.52,97.66,2.34,5.24
bz_nbr7008_095,period_4,4,95.74,1.72,2.53,96.82,3.18,4.43
bz_nbr7008_095,period_5,5,96.43,0.78,2.79,98.9,1.1,1.33
