instance,period,period_number,new_coils_used_count,new_coils_value,new_strip_produced_value,new_strip_retail_value,new_strip_scrap_value,new_strip_loss_value,new_lateral_leftover_value,new_edge_trim_value,new_rolled_leftover_value,processed_coils_total_count,processed_coils_used_count,processed_coils_value,processed_strip_produced_value,processed_scrap_value
bf_qcv_045,period_1,1,40,1612541.55,1577684.75,236.17,11.13,708.14,17318.37,16583.12,0.0,0,0,0.0,0.0,0.0
bf_qcv_045,period_2,2,35,1444281.85,1413302.33,167.61,0.53,624.93,15484.79,14701.77,0.0,3,2,236.17,214.68,21.5
bf_qcv_045,period_3,3,44,1802262.08,1763865.59,43.7,17.45,776.7,18931.02,18628.22,0.0,4,3,167.61,138.0,29.61
bf_qcv_045,period_4,4,30,1224912.09,1196938.58,61.78,38.87,531.68,14751.34,12588.75,0.0,1,1,43.7,35.58,8.11
bf_qcv_045,period_5,5,49,1941003.75,1902970.81,117.03,4.07,872.7,17147.15,19891.49,0.0,1,1,61.78,53.61,8.17
bf_sae1006_045,period_1,1,49,2022038.85,1953200.95,11607.74,12.31,851.97,36499.45,19865.87,0.0,0,0,0.0,0.0,0.0
bf_sae1006_045,period_2,2,48,2021573.97,1955346.79,7969.54,25.1,817.83,37131.48,20282.65,0.0,7,7,11607.74,11539.89,67.85
bf_sae1006_045,period_3,3,54,2249924.02,2178223.43,2535.11,23.87,928.2,39890.45,22294.81,6027.74,5,5,7969.54,7913.83,55.72
bf_sae1006_045,period_4,4,36,1518596.87,1468371.14,6542.76,1.68,634.48,28430.22,14616.84,0.0,5,5,8562.84,8483.16,79.69
bf_sae1006_045,period_5,5,60,2487240.27,2408412.92,1102.24,40.27,1033.76,44447.76,24684.61,7518.05,5,5,6542.76,6498.08,44.68
bf_sae1006_050,period_1,1,4,177663.5,139453.43,0.0,0.0,95.5,1720.18,1187.11,35207.33,0,0,0.0,0.0,0.0
bf_sae1006_050,period_2,2,3,131588.05,99183.53,0.0,0.0,71.59,1240.26,844.52,30248.21,2,2,35207.33,34470.03,737.3
bf_sae1006_050,period_3,3,3,131588.05,122377.21,6562.16,0.0,71.74,1480.38,1096.52,0.0,2,2,30248.21,29575.48,672.73
bf_sae1006_050,period_4,4,3,131588.05,115206.98,1824.15,0.0,71.59,1535.33,996.94,11953.07,2,2,6562.16,6551.26,10.9
bf_sae1006_050,period_5,5,4,188200.81,177648.83,6501.73,0.0,95.5,2386.36,1568.28,0.0,2,2,13777.22,13510.5,266.72
bz_nbr7008_043,period_1,1,18,858739.66,809887.74,10869.7,50.94,339.22,29211.27,8380.59,0.0,0,0,0.0,0.0,0.0
bz_nbr7008_043,period_2,2,18,799777.46,747043.61,6551.4,0.93,352.89,32638.45,7536.57,5653.38,9,9,10869.64,10779.63,90.01
bz_nbr7008_043,period_3,3,19,871212.21,813262.67,11818.46,0.0,356.27,37223.64,8551.07,0.0,8,8,12204.78,11862.51,342.26
bz_nbr7008_043,period_4,4,15,689892.66,642146.42,11852.64,34.49,293.97,29063.08,6502.0,0.0,12,12,20945.54,16343.64,4601.9
bz_nbr7008_043,period_5,5,23,1090658.72,1027811.64,4965.7,59.02,447.1,47001.92,10373.12,0.0,6,6,11852.64,11800.42,52.23
bz_nbr7008_075,period_1,1,6,215298.54,192612.48,16509.84,0.0,184.49,3838.81,2153.03,0.0,0,0,0.0,0.0,0.0
bz_nbr7008_075,period_2,2,5,182494.62,156101.92,17461.15,0.0,150.27,6956.32,1824.97,0.0,11,11,19009.41,10444.58,8564.83
bz_nbr7008_075,period_3,3,6,214525.88,175528.29,8345.58,0.0,182.94,5116.25,1910.92,23441.9,7,7,24302.87,19083.68,5219.18
bz_nbr7008_075,period_4,4,4,141132.09,126592.94,6201.71,0.0,118.99,6807.12,1411.33,0.0,8,8,36304.75,30029.35,6275.4
bz_nbr7008_075,period_5,5,7,257578.63,215308.12,10900.04,0.0,212.12,6220.08,2349.89,22588.33,9,9,12938.09,7716.39,5221.7
bz_nbr7008_095,period_1,1,6,305604.03,292911.62,4040.66,0.0,235.77,5359.84,3056.09,0.0,0,0,0.0,0.0,0.0
bz_nbr7008_095,period_2,2,6,303415.78,276082.58,1362.75,0.0,235.77,5149.89,2856.91,17727.78,5,5,4040.66,3984.21,56.45
bz_nbr7008_095,period_3,3,7,358106.31,337402.34,1912.49,0.0,275.98,5281.63,3483.62,9750.2,5,5,19090.52,18621.1,469.42
bz_nbr7008_095,period_4,4,5,255077.24,244241.79,4369.58,0.0,197.34,3717.54,2550.78,0.0,4,4,11662.69,11290.7,372.0
bz_nbr7008_095,period_5,5,6,335079.37,323155.79,2561.6,0.0,235.77,5775.3,3350.74,0.0,5,5,4369.58,4298.84,70.74
