instance,period,period_number,new_coils_used_count,new_coils_weight,new_strip_produced_weight,new_strip_retail_weight,new_strip_scrap_weight,new_strip_loss_weight,new_lateral_leftover_weight,new_edge_trim_weight,new_rolled_leftover_weight,new_partially_used_count,processed_coils_total_count,processed_coils_used_count,processed_coils_weight,processed_strip_produced_weight,processed_scrap_weight,total_strip_produced_weight,retails_generated_count,retails_generated_weight,retails_generated_avg_weight
bf_qcv_045,period_1,1,40,311335.22,304651.69,48.06,2.12,137.45,3307.94,3187.98,0.0,0,0,0,0.0,0.0,0.0,304651.69,3,48.06,16.02
bf_qcv_045,period_2,2,35,279677.07,273726.72,32.91,0.1,121.75,2961.84,2833.77,0.0,0,3,2,48.06,43.77,4.29,273770.49,4,32.91,8.23
bf_qcv_045,period_3,3,44,347762.13,340405.11,8.24,3.4,150.76,3615.67,3579.06,0.0,0,4,3,32.91,27.09,5.82,340432.2,1,8.24,8.24
bf_qcv_045,period_4,4,30,236008.08,230657.07,11.65,7.88,103.02,2812.13,2416.12,0.0,0,1,1,8.24,6.71,1.53,230663.78,1,11.65,11.65
bf_qcv_045,period_5,5,49,375667.37,368354.51,23.27,0.77,170.02,3286.88,3831.82,0.0,0,1,1,11.65,10.11,1.54,368364.62,4,23.27,5.82
bf_sae1006_045,period_1,1,49,395478.27,382001.45,2288.46,2.48,166.99,7138.58,3880.2,0.0,0,0,0,0.0,0.0,0.0,382001.45,7,2288.46,326.92
bf_sae1006_045,period_2,2,48,395020.5,382041.73,1606.41,5.06,160.11,7249.5,3957.58,0.0,0,7,7,2288.46,2274.98,13.48,384316.71,5,1606.41,321.28
bf_sae1006_045,period_3,3,54,440126.35,426132.85,505.0,4.76,181.9,7781.68,4355.07,1165.01,1,5,5,1606.41,1595.21,11.2,427728.06,5,1670.01,334.0
bf_sae1006_045,period_4,4,36,298584.75,288666.16,1322.45,0.34,124.98,5600.81,2870.06,0.0,0,5,5,1670.01,1654.28,15.73,290320.44,5,1322.45,264.49
bf_sae1006_045,period_5,5,60,486585.77,471136.27,219.44,7.98,202.58,8678.29,4821.5,1519.58,1,5,5,1322.45,1313.42,9.03,472449.69,8,1739.02,217.38
bf_sae1006_050,period_1,1,4,34397.98,27000.01,0.0,0.0,18.49,333.05,229.84,6816.6,2,0,0,0.0,0.0,0.0,27000.01,2,6816.6,3408.3
