instance,period,period_number,new_coils_used_count,new_coils_value,new_strip_produced_value,new_strip_retail_value,new_strip_scrap_value,new_strip_loss_value,new_lateral_leftover_value,new_lateral_retail_value,new_lateral_scrap_value,new_edge_trim_value,new_rolled_leftover_value,new_partially_used_count,processed_coils_total_count,processed_coils_used_count,processed_coils_value,processed_strip_produced_value,processed_scrap_value,total_strip_produced_value,retails_generated_count,retails_generated_value
bf_qcv_045,period_1,1,40,1612615.2,1577682.99,315.68,7.19,708.09,17317.45,0.0,17317.45,16583.83,0.0,0,0,0,0.0,0.0,0.0,1577682.99,3,315.68
bf_qcv_045,period_2,2,35,1444637.07,1413224.46,573.84,39.64,624.88,15470.49,0.0,15470.49,14703.87,0.0,0,3,3,315.68,265.8,49.87,1413490.27,1,573.84
bf_qcv_045,period_3,3,44,1801994.97,1763474.74,163.31,4.92,776.7,18948.72,0.0,18948.72,18626.91,0.0,0,1,1,573.84,561.59,12.24,1764036.34,2,163.31
bf_qcv_045,period_4,4,30,1225253.81,1196806.9,583.89,0.48,531.74,14739.79,0.0,14739.79,12591.34,0.0,0,2,2,163.31,145.88,17.42,1196952.78,4,583.89
bf_qcv_045,period_5,5,50,1941020.85,1902474.66,612.49,5.92,890.68,17145.67,0.0,17145.67,19891.62,0.0,0,4,4,583.89,546.12,37.78,1903020.78,3,612.49
bf_sae1006_045,period_1,1,49,2012357.69,1943433.54,8124.12,55.09,871.51,40433.21,0.0,40433.21,19440.31,0.0,0,0,0,0.0,0.0,0.0,1943433.54,4,8124.12
bf_sae1006_045,period_2,2,51,2040980.86,1957312.53,8345.69,10.4,876.18,54109.73,16178.85,37930.88,20326.06,0.0,0,4,4,8124.12,7816.97,307.15,1965129.49,7,24524.54
bf_sae1006_045,period_3,3,53,2241138.61,2160531.66,17907.28,78.94,923.94,39846.11,0.0,39846.11,21850.16,0.0,0,7,7,24524.54,18308.89,6215.65,2178840.55,5,17907.28
bf_sae1006_045,period_4,4,36,1512461.5,1463827.61,3170.67,15.33,630.51,25114.76,0.0,25114.76,14650.41,5051.75,1,5,5,17907.28,17617.19,290.09,1481444.8,5,8222.42
bf_sae1006_045,period_5,5,61,2495117.9,2404263.5,18875.69,46.12,1061.01,46290.99,0.0,46290.99,24580.26,0.0,0,5,5,8222.42,7146.9,1075.53,2411410.4,8,18875.74
bf_sae1006_050,period_1,1,4,177663.5,139453.43,49.07,0.0,86.98,15851.2,15851.2,0.0,1306.21,20916.66,1,0,0,0.0,0.0,0.0,139453.43,6,36816.93
bf_sae1006_050,period_2,2,3,131588.05,99358.0,72.83,0.0,56.61,24525.51,24525.51,0.0,1042.08,6533.03,1,6,6,36816.93,34295.51,2521.42,133653.51,5,31131.37
bf_sae1006_050,period_3,3,3,131588.05,122447.35,2451.28,0.0,69.62,5523.23,4560.18,963.05,1096.52,0.0,0,5,5,31131.37,29505.34,1626.03,151952.69,3,7011.46
bf_sae1006_050,period_4,4,3,131588.05,115277.17,1830.92,0.0,65.18,13318.26,13318.26,0.0,1096.52,0.0,0,3,3,7011.46,6481.07,530.39,121758.24,5,15149.18
bf_sae1006_050,period_5,5,4,184056.61,177776.92,2579.63,0.0,95.65,2070.62,0.0,2070.62,1533.78,0.0,0,5,5,15149.18,13382.36,1766.82,191159.28,2,2579.63
bz_nbr7008_043,period_1,1,21,895248.29,794699.35,5338.56,15.79,339.77,77454.27,61173.03,16281.24,9204.6,8195.61,2,0,0,0.0,0.0,0.0,794699.35,18,74707.26
bz_nbr7008_043,period_2,2,18,822106.97,727398.97,6841.94,0.0,335.57,64609.73,47129.35,17480.38,7643.46,15277.3,1,18,16,74707.26,29935.63,44771.63,757334.6,13,69248.59
bz_nbr7008_043,period_3,3,20,868280.48,791149.35,10540.84,0.0,367.59,57814.78,28948.41,28866.37,8407.98,0.0,0,13,12,69248.59,35984.44,33264.15,827133.79,12,39489.25
bz_nbr7008_043,period_4,4,16,699749.05,638548.88,7100.45,0.0,313.27,41107.13,19765.4,21341.73,6440.91,6238.41,1,12,12,39489.25,20805.42,18683.83,659354.3,11,33104.26
bz_nbr7008_043,period_5,5,24,1112306.4,1014381.35,6683.59,92.8,459.55,80260.53,50513.68,29746.85,10428.46,0.0,0,11,11,33104.26,27680.1,5424.16,1042061.46,13,57197.27
bz_nbr7008_075,period_1,1,6,215298.54,192612.48,3653.36,0.0,179.67,8804.26,8663.69,140.58,2073.29,7975.54,1,0,0,0.0,0.0,0.0,192612.48,9,20292.58
bz_nbr7008_075,period_2,2,5,179048.78,153419.42,0.0,33.2,149.25,6249.05,6092.2,156.86,1614.66,17583.09,2,9,9,20292.58,13127.13,7165.44,166546.55,5,23675.28
bz_nbr7008_075,period_3,3,5,187330.58,175278.03,3165.33,37.33,150.48,6826.03,6667.03,159.0,1873.32,0.0,0,5,5,23675.28,19333.99,4341.3,194612.02,6,9832.36
bz_nbr7008_075,period_4,4,5,180099.48,150439.7,17223.05,0.0,147.86,10487.85,10388.13,99.71,1801.03,0.0,0,6,6,9832.36,6182.43,3649.93,156622.13,7,27611.19
bz_nbr7008_075,period_5,5,6,230211.7,201201.51,18142.17,3.91,180.53,8381.52,8180.96,200.55,2302.12,0.0,0,7,7,27611.19,21823.06,5788.13,223024.57,6,26323.14
bz_nbr7008_095,period_1,1,6,316320.95,292911.62,2348.41,0.0,227.7,17669.97,16829.96,840.01,3163.2,0.0,0,0,0,0.0,0.0,0.0,292911.62,6,19178.42
bz_nbr7008_095,period_2,2,6,303415.78,265435.26,4114.76,0.0,226.89,16723.82,16129.75,594.07,2893.98,14021.01,1,6,6,19178.42,14631.53,4546.89,280066.79,6,34265.52
bz_nbr7008_095,period_3,3,7,358106.31,326743.17,1604.47,0.0,267.1,16734.59,14320.15,2414.44,3488.38,9268.5,1,6,6,34265.52,29280.27,4985.25,356023.44,6,25193.11
bz_nbr7008_095,period_4,4,5,248862.12,233794.62,3490.22,0.0,192.9,8895.74,6333.05,2562.69,2488.64,0.0,0,6,6,25193.11,21737.97,3455.15,255532.59,5,9823.22
bz_nbr7008_095,period_5,5,6,334697.03,318658.53,1355.01,0.0,231.33,11105.1,7307.35,3797.75,3346.95,0.0,0,5,5,9823.22,8796.1,1027.12,327454.63,5,8662.36
