instance,period,period_number,new_coils_used_count,new_coils_weight,new_strip_produced_weight,new_strip_retail_weight,new_strip_scrap_weight,new_strip_loss_weight,new_lateral_leftover_weight,new_lateral_retail_weight,new_lateral_scrap_weight,new_edge_trim_weight,new_rolled_leftover_weight,new_partially_used_count,processed_coils_total_count,processed_coils_used_count,processed_coils_weight,processed_strip_produced_weight,processed_scrap_weight,total_strip_produced_weight,retails_generated_count,retails_generated_weight
bf_qcv_045,period_1,1,40,311349.96,304651.67,63.57,1.39,137.44,3307.77,0.0,3307.77,3188.12,0.0,0,0,0,0.0,0.0,0.0,304651.67,3,63.57
bf_qcv_045,period_2,2,35,279759.03,273716.57,119.06,8.18,121.74,2959.21,0.0,2959.21,2834.29,0.0,0,3,3,63.57,53.92,9.65,273770.49,1,119.06
bf_qcv_045,period_3,3,44,347695.85,340315.72,30.84,0.97,150.76,3618.94,0.0,3618.94,3578.68,0.0,0,1,1,119.06,116.52,2.54,340432.24,2,30.84
bf_qcv_045,period_4,4,30,236083.53,230636.42,117.34,0.1,103.03,2810.0,0.0,2810.0,2416.7,0.0,0,2,2,30.84,27.55,3.29,230663.97,4,117.34
bf_qcv_045,period_5,5,50,375672.54,368254.65,124.86,1.17,173.42,3286.61,0.0,3286.61,3831.86,0.0,0,4,4,117.34,109.98,7.36,368364.63,3,124.86
bf_sae1006_045,period_1,1,49,395564.82,382001.46,1593.77,11.11,171.58,7971.16,0.0,7971.16,3815.76,0.0,0,0,0,0.0,0.0,0.0,382001.46,4,1593.77
bf_sae1006_045,period_2,2,51,399299.29,382783.46,1685.7,2.06,171.76,10685.49,3270.14,7415.35,3970.77,0.0,0,4,4,1593.77,1533.25,60.52,384316.71,7,4955.84
bf_sae1006_045,period_3,3,53,439875.15,424028.49,3543.16,15.69,181.67,7823.65,0.0,7823.65,4282.39,0.0,0,7,7,4955.84,3699.58,1256.26,427728.07,5,3543.16
bf_sae1006_045,period_4,4,36,296360.67,286834.44,632.07,3.01,123.79,4910.4,0.0,4910.4,2866.86,990.01,1,5,5,3543.16,3485.95,57.21,290320.39,5,1622.08
bf_sae1006_045,period_5,5,61,488915.5,471038.57,3783.1,9.21,208.34,9066.92,0.0,9066.92,4809.3,0.0,0,5,5,1622.08,1411.14,210.94,472449.71,8,3783.11
bf_sae1006_050,period_1,1,4,34397.98,27000.01,9.5,0.0,16.84,3069.0,3069.0,0.0,252.9,4049.74,1,0,0,0.0,0.0,0.0,27000.01,6,7128.24
bf_sae1006_050,period_2,2,3,25477.17,19237.01,14.1,0.0,10.96,4748.46,4748.46,0.0,201.76,1264.88,1,6,6,7128.24,6640.06,488.18,25877.07,5,6027.44
bf_sae1006_050,period_3,3,3,25477.17,23707.41,474.6,0.0,13.48,1069.37,882.91,186.46,212.3,0.0,0,5,5,6027.44,5712.62,314.82,29420.03,3,1357.51
bf_sae1006_050,period_4,4,3,25477.17,22319.17,354.49,0.0,12.62,2578.59,2578.59,0.0,212.3,0.0,0,3,3,1357.51,1254.82,102.69,23573.99,5,2933.08
