instance,period,period_number,new_production_rate,new_reusable_rate,new_scrap_rate,processed_recovery_rate,processed_discard_rate,reuse_dependency_rate
bf_qcv_045,period_1,1,97.85,0.02,2.13,0.0,0.0,0.0
bf_qcv_045,period_2,2,97.84,0.04,2.12,84.82,15.18,0.02
bf_qcv_045,period_3,3,97.88,0.01,2.11,97.87,2.13,0.03
bf_qcv_045,period_4,4,97.69,0.05,2.26,89.33,10.67,0.01
bf_qcv_045,period_5,5,98.03,0.03,1.94,93.73,6.27,0.03
bf_sae1006_045,period_1,1,96.57,0.4,3.03,0.0,0.0,0.0
bf_sae1006_045,period_2,2,95.86,1.24,2.9,96.2,3.8,0.4
bf_sae1006_045,period_3,3,96.4,0.81,2.8,74.65,25.35,0.86
bf_sae1006_045,period_4,4,96.79,0.55,2.67,98.39,1.61,1.2
bf_sae1006_045,period_5,5,96.34,0.77,2.88,87.0,13.0,0.3
bf_sae1006_050,period_1,1,78.49,20.72,0.78,0.0,0.0,0.0
bf_sae1006_050,period_2,2,75.51,23.66,0.83,93.15,6.85,25.66
bf_sae1006_050,period_3,3,93.05,5.33,1.62,94.78,5.22,19.42
bf_sae1006_050,period_4,4,87.6,11.51,0.88,92.44,7.56,5.32
bf_sae1006_050,period_5,5,96.59,1.4,2.01,88.34,11.66,7.0
bz_nbr7008_043,period_1,1,88.64,8.48,2.88,0.0,0.0,0.0
bz_nbr7008_043,period_2,2,88.5,8.43,3.07,40.04,59.96,4.12
bz_nbr7008_043,period_3,3,91.05,4.67,4.29,50.42,49.58,4.2
bz_nbr7008_043,period_4,4,91.3,4.72,3.98,52.33,47.67,3.25
bz_nbr7008_043,period_5,5,91.19,5.18,3.63,82.91,17.09,2.62
bz_nbr7008_075,period_1,1,89.46,9.43,1.11,0.0,0.0,0.0
bz_nbr7008_075,period_2,2,85.69,13.22,1.09,64.69,35.31,7.88
bz_nbr7008_075,period_3,3,93.57,5.25,1.19,81.66,18.34,9.93
bz_nbr7008_075,period_4,4,83.53,15.33,1.14,62.88,37.12,3.95
bz_nbr7008_075,period_5,5,87.4,11.43,1.17,79.04,20.96,9.79
bz_nbr7008_095,period_1,1,92.6,6.06,1.34,0.0,0.0,0.0
bz_nbr7008_095,period_2,2,87.48,11.29,1.22,76.29,23.71,5.22
bz_nbr7008_095,period_3,3,91.24,7.04,1.72,85.45,14.55,8.22
bz_nbr7008_095,period_4,4,93.95,3.95,2.11,86.29,13.71,8.51
bz_nbr7008_095,period_5,5,95.21,2.59,2.2,89.54,10.46,2.69
