instance,period,period_number,new_production_rate,new_reusable_rate,new_scrap_rate,processed_recovery_rate,processed_discard_rate,reuse_dependency_rate
bf_qcv_045,period_1,1,97.86,0.01,2.13,0.0,0.0,0.0
bf_qcv_045,period_2,2,97.87,0.01,2.12,90.28,9.72,0.01
bf_qcv_045,period_3,3,97.88,0.01,2.11,86.46,13.54,0.01
bf_qcv_045,period_4,4,97.61,0.01,2.38,85.76,14.24,0.01
bf_qcv_045,period_5,5,98.05,0.01,1.94,93.84,6.16,0.01
bf_sae1006_045,period_1,1,96.75,0.35,2.9,0.0,0.0,0.0
bf_sae1006_045,period_2,2,96.31,0.83,2.87,99.19,0.81,0.35
bf_sae1006_045,period_3,3,96.88,0.45,2.68,95.65,4.35,0.74
bf_sae1006_045,period_4,4,96.39,0.84,2.77,99.05,0.95,0.67
bf_sae1006_045,period_5,5,96.56,0.67,2.78,99.47,0.53,0.53
bf_sae1006_050,period_1,1,78.49,19.49,2.01,0.0,0.0,0.0
bf_sae1006_050,period_2,2,75.27,22.51,2.22,99.92,0.08,25.89
bf_sae1006_050,period_3,3,92.98,5.01,2.01,99.92,0.08,19.48
bf_sae1006_050,period_4,4,87.53,10.25,2.22,99.83,0.17,5.4
bf_sae1006_050,period_5,5,95.13,2.86,2.01,89.87,10.13,6.34
bz_nbr7008_043,period_1,1,93.08,2.51,4.41,0.0,0.0,0.0
bz_nbr7008_043,period_2,2,90.8,3.85,5.35,99.12,0.88,2.87
bz_nbr7008_043,period_3,3,93.1,2.89,4.02,96.72,3.28,3.63
bz_nbr7008_043,period_4,4,89.72,5.04,5.24,83.17,16.83,3.15
bz_nbr7008_043,period_5,5,93.11,2.34,4.54,99.67,0.33,3.43
bz_nbr7008_075,period_1,1,89.46,8.83,1.71,0.0,0.0,0.0
bz_nbr7008_075,period_2,2,85.52,13.32,1.16,55.09,44.91,6.29
bz_nbr7008_075,period_3,3,81.82,16.47,1.71,78.52,21.48,9.81
bz_nbr7008_075,period_4,4,77.23,21.37,1.39,59.25,40.75,13.36
bz_nbr7008_075,period_5,5,82.17,16.69,1.14,64.29,35.71,10.83
bz_nbr7008_095,period_1,1,95.85,1.32,2.83,0.0,0.0,0.0
bz_nbr7008_095,period_2,2,90.99,6.2,2.8,98.47,1.53,1.42
bz_nbr7008_095,period_3,3,94.18,3.26,2.57,99.72,0.28,5.27
bz_nbr7008_095,period_4,4,96.01,1.48,2.51,96.43,3.57,4.4
bz_nbr7008_095,period_5,5,97.09,0.09,2.82,97.98,2.02,1.13
