instance,period,period_number,new_coils_used_count,new_coils_weight,new_strip_produced_weight,new_strip_retail_weight,new_strip_scrap_weight,new_strip_loss_weight,new_lateral_leftover_weight,new_lateral_retail_weight,new_lateral_scrap_weight,new_edge_trim_weight,new_rolled_leftover_weight,new_partially_used_count,processed_coils_total_count,processed_coils_used_count,processed_coils_weight,processed_strip_produced_weight,processed_scrap_weight,total_strip_produced_weight,retails_generated_count,retails_generated_weight
bf_qcv_045,period_1,1,40,311311.45,304651.68,16.97,7.49,137.46,3310.04,0.0,3310.04,3187.83,0.0,0,0,0,0.0,0.0,0.0,304651.68,1,16.97
bf_qcv_045,period_2,2,35,279702.44,273755.09,30.13,2.01,121.75,2959.53,0.0,2959.53,2833.88,0.0,0,1,1,16.97,15.32,1.65,273770.41,2,30.13
bf_qcv_045,period_3,3,45,347780.28,340406.18,23.11,2.04,153.83,3615.89,0.0,3615.89,3579.25,0.0,0,2,2,30.13,26.05,4.08,340432.23,3,23.11
bf_qcv_045,period_4,4,29,236303.18,230644.17,24.98,4.05,99.85,3114.11,0.0,3114.11,2416.09,0.0,0,3,2,23.11,19.82,3.29,230663.99,1,24.98
bf_qcv_045,period_5,5,50,375658.56,368341.16,24.94,0.18,173.51,3286.98,0.0,3286.98,3831.75,0.0,0,1,1,24.98,23.44,1.54,368364.6,3,24.94
bf_sae1006_045,period_1,1,47,394834.55,382001.42,1368.62,10.82,161.67,7487.07,0.0,7487.07,3804.84,0.0,0,0,0,0.0,0.0,0.0,382001.42,6,1368.62
bf_sae1006_045,period_2,2,50,397649.68,382959.21,3296.34,3.8,168.22,7252.24,0.0,7252.24,3969.74,0.0,0,6,6,1368.62,1357.48,11.14,384316.69,7,3296.34
bf_sae1006_045,period_3,3,53,438269.71,424574.96,1951.87,0.0,177.94,7104.45,0.0,7104.45,4460.38,0.0,0,7,7,3296.34,3153.1,143.24,427728.06,9,1951.88
bf_sae1006_045,period_4,4,37,299183.51,288387.07,2512.41,5.3,127.0,5223.65,0.0,5223.65,2928.05,0.0,0,9,9,1951.88,1933.35,18.53,290320.42,7,2512.39
bf_sae1006_045,period_5,5,61,486703.78,469950.64,3241.14,7.23,205.14,8407.79,0.0,8407.79,4891.72,0.0,0,7,7,2512.39,2499.03,13.36,472449.67,9,3241.15
bf_sae1006_050,period_1,1,4,34397.98,26999.99,6705.83,0.0,18.52,386.98,0.0,386.98,286.64,0.0,0,0,0,0.0,0.0,0.0,26999.99,4,6705.82
bf_sae1006_050,period_2,2,3,25477.17,19176.74,5735.54,0.0,13.86,338.72,0.0,338.72,212.3,0.0,0,4,4,6705.82,6700.33,5.49,25877.07,5,5735.53
bf_sae1006_050,period_3,3,3,25477.17,23689.13,1275.22,0.0,13.89,286.62,0.0,286.62,212.3,0.0,0,5,5,5735.53,5730.89,4.64,29420.02,2,1275.22
bf_sae1006_050,period_4,4,3,25477.17,22300.88,2611.4,0.0,13.86,338.72,0.0,338.72,212.3,0.0,0,2,2,1275.22,1273.11,2.11,23573.99,6,2611.41
bf_sae1006_050,period_5,5,4,36438.14,34664.12,1041.92,0.0,18.52,409.93,0.0,409.93,303.64,0.0,0,6,6,2611.41,2346.8,264.61,37010.92,2,1041.92
bz_nbr7008_043,period_1,1,18,152075.23,141553.74,3810.27,7.94,59.37,5152.89,0.0,5152.89,1490.99,0.0,0,0,0,0.0,0.0,0.0,141553.74,9,3810.27
bz_nbr7008_043,period_2,2,18,140909.16,127950.63,5423.71,1.55,60.79,6126.22,0.0,6126.22,1346.21,0.0,0,9,9,3810.27,3776.88,33.39,131727.51,9,5423.71
